Folder,Name,Type,Protocol,Address,Command
Multiple,Power,parsed,NECext,01 72 00 00,1E E1 00 00
Multiple,Power,parsed,NECext,02 7D 00 00,46 B9 00 00
Android,Power,parsed,NEC,01 00 00 00,40 00 00 00
Multiple,Power,parsed,NECext,00 7F 00 00,0A F5 00 00
Multiple,Power,parsed,NECext,00 DF 00 00,1C E3 00 00
Multiple,Power,parsed,NEC,01 00 00 00,10 00 00 00
BGH,Power,parsed,NECext,00 BF 00 00,03 FC 00 00
Blitzwolf,Power,parsed,NECext,A0 B7 00 00,E9 16 00 00
Multiple,Power,parsed,RCA,0F 00 00 00,54 00 00 00
Bush,Power,parsed,NEC,08 00 00 00,D7 00 00 00
CCE,Power,parsed,NEC,04 00 00 00,40 00 00 00
Multiple,Power,parsed,NECext,00 7F 00 00,1E E1 00 00
ContinentalEdison,Power,parsed,NEC,40 00 00 00,0B 00 00 00
Multiple,Power,parsed,RC5,01 00 00 00,0C 00 00 00
Daewoo,Power,parsed,NEC,80 00 00 00,82 00 00 00
Multiple,Power,parsed,NECext,00 BF 00 00,0D F2 00 00
Multiple,Power,parsed,NECext,86 05 00 00,0F F0 00 00
DYON,Power,parsed,NECext,40 40 00 00,0A F5 00 00
Multiple,Power,parsed,NEC,20 00 00 00,52 00 00 00
Multiple,Power,parsed,NECext,00 7F 00 00,15 EA 00 00
Multiple,Power,parsed,NECext,84 E0 00 00,20 DF 00 00
Enseo,Power,parsed,NEC,6E 00 00 00,02 00 00 00
Fetch,Power,parsed,NECext,64 46 00 00,5D A2 00 00
Gigabyte,Power,parsed,NEC,00 00 00 00,1A 00 00 00
Multiple,Power,parsed,NEC,40 00 00 00,12 00 00 00
Multiple,Power,parsed,RC5,00 00 00 00,0C 00 00 00
Multiple,Power,parsed,NEC,04 00 00 00,08 00 00 00
Hitachi,Power,parsed,RC5,03 00 00 00,0C 00 00 00
Hitachi,Power,parsed,NEC,50 00 00 00,17 00 00 00
Kraft,Power,parsed,NECext,01 3E 00 00,0A F5 00 00
LG,Power,parsed,NECext,04 F4 00 00,08 F7 00 00
LG,Power,parsed,NECext,69 69 00 00,01 FE 00 00
LodgeNet,Power,parsed,NECext,85 7C 00 00,80 7F 00 00
Magnavox,Power,parsed,NECext,83 7A 00 00,08 00 00 00
Manta,Power,parsed,NECext,00 BF 00 00,00 FF 00 00
Manta,Power,parsed,NEC,A0 00 00 00,5F 00 00 00
Medion,Power,parsed,NEC,19 00 00 00,18 00 00 00
Mivar,Power,parsed,NECext,00 FB 00 00,0A F5 00 00
NEC,Power,parsed,NEC,38 00 00 00,01 00 00 00
Multiple,Power,parsed,NECext,EA C7 00 00,17 E8 00 00
Panasonic,Power,parsed,Kaseikyo,80 02 20 00,D0 03 00 00
Panasonic,Power,parsed,Samsung32,3E 00 00 00,0C 00 00 00
Philips,Power,parsed,NECext,00 BD 00 00,01 FE 00 00
Philips,Power,parsed,RC6,00 00 00 00,0C 00 00 00
Pioneer,Power,parsed,Pioneer,AA 00 00 00,1C 00 00 00
PrismPlus,Power,parsed,Samsung32,0E 00 00 00,0C 00 00 00
TCL,Power,parsed,NECext,EA C7 00 00,97 68 00 00
Multiple,Power,parsed,Samsung32,07 00 00 00,02 00 00 00
Samsung,Power,parsed,Samsung32,07 00 00 00,E6 00 00 00
Sanyo,Power,parsed,NEC,38 00 00 00,12 00 00 00
Sceptre,Power,parsed,SIRC,01 00 00 00,15 00 00 00
Sencor,Power,parsed,NEC,40 00 00 00,0B 00 00 00
Sharp,Power,parsed,NEC,28 00 00 00,0B 00 00 00
Silver,Power,parsed,NECext,00 F7 00 00,0C F3 00 00
Soniq,Power,parsed,NECext,72 DD 00 00,0E F1 00 00
Soniq,Power,parsed,NECext,72 DD 00 00,10 EF 00 00
Sony,Power,parsed,SIRC,01 00 00 00,2E 00 00 00
Strong,Power,parsed,NEC,01 00 00 00,1C 00 00 00
Syntax-Brillian,Power,parsed,NECext,04 B9 00 00,00 FF 00 00
Vitec,Power,parsed,NECext,AD ED 00 00,B5 4A 00 00